"Submission ID","Last updated","Submission started","Status","Current step","Which Document are you rating?","Content Relevance","Technical Accuracy","Practicality of Advice","Clarity and Structure","Innovation and Insightfulness","Errors","Url","Network ID"
"4426bd22-e3da-47e0-a31a-f6e702e9a42c","Sun Sep 15 2024 18:53:00 GMT+0200 (Central European Summer Time)","Sun Sep 15 2024 18:53:00 GMT+0200 (Central European Summer Time)","finished","Ending","D3","5","6","5","4","3","None","https://build.fillout.com/editor/ipbrYZCDCsus/results?sessionId=4426bd22-e3da-47e0-a31a-f6e702e9a42c","19b6578b4f3e4197e62072fda9ffb351"
"da4966f0-ddf9-422c-b353-a95a43339f16","Sun Sep 15 2024 18:38:00 GMT+0200 (Central European Summer Time)","Sun Sep 15 2024 18:38:00 GMT+0200 (Central European Summer Time)","finished","Ending","D4","9","9","10","9","8","None","https://build.fillout.com/editor/ipbrYZCDCsus/results?sessionId=da4966f0-ddf9-422c-b353-a95a43339f16","19b6578b4f3e4197e62072fda9ffb351"
"6e7c997e-139f-445c-b3e6-00eb3bea1820","Sun Sep 15 2024 18:36:00 GMT+0200 (Central European Summer Time)","Sun Sep 15 2024 18:36:00 GMT+0200 (Central European Summer Time)","finished","Ending","D1","9","9","8","9","9","None","https://build.fillout.com/editor/ipbrYZCDCsus/results?sessionId=6e7c997e-139f-445c-b3e6-00eb3bea1820","19b6578b4f3e4197e62072fda9ffb351"
"2a75c569-eec6-498d-8b0b-476ed9f021a2","Fri Sep 13 2024 17:25:00 GMT+0200 (Central European Summer Time)","Fri Sep 13 2024 17:25:00 GMT+0200 (Central European Summer Time)","finished","Ending","","9","9","9","10","9","None","https://build.fillout.com/editor/ipbrYZCDCsus/results?sessionId=2a75c569-eec6-498d-8b0b-476ed9f021a2","19b6578b4f3e4197e62072fda9ffb351"
"77bebd14-b98a-4420-b2c1-cef32eff7b8f","Fri Sep 13 2024 13:00:00 GMT+0200 (Central European Summer Time)","Fri Sep 13 2024 13:00:00 GMT+0200 (Central European Summer Time)","finished","Ending","","9","8","8","8","8","None","https://build.fillout.com/editor/ipbrYZCDCsus/results?sessionId=77bebd14-b98a-4420-b2c1-cef32eff7b8f","783db5eb11e4574927d3eb79c22f4821"
"d5ea2265-19ae-47bd-9cd3-aef0b2d5ec59","Fri Sep 13 2024 12:57:00 GMT+0200 (Central European Summer Time)","Fri Sep 13 2024 12:57:00 GMT+0200 (Central European Summer Time)","finished","Ending","D17","8","7","6","5","6","None","https://build.fillout.com/editor/ipbrYZCDCsus/results?sessionId=d5ea2265-19ae-47bd-9cd3-aef0b2d5ec59","783db5eb11e4574927d3eb79c22f4821"
"5a21aa0a-cfff-412f-bb5a-355613954243","Fri Sep 13 2024 12:54:00 GMT+0200 (Central European Summer Time)","Fri Sep 13 2024 12:54:00 GMT+0200 (Central European Summer Time)","finished","Ending","D12","8","8","8","7","7","None","https://build.fillout.com/editor/ipbrYZCDCsus/results?sessionId=5a21aa0a-cfff-412f-bb5a-355613954243","783db5eb11e4574927d3eb79c22f4821"
"8f163dfb-97b8-414d-9abb-c9e79a0fb114","Fri Sep 13 2024 12:51:00 GMT+0200 (Central European Summer Time)","Fri Sep 13 2024 12:51:00 GMT+0200 (Central European Summer Time)","finished","Ending","D11","7","7","7","5","7","None","https://build.fillout.com/editor/ipbrYZCDCsus/results?sessionId=8f163dfb-97b8-414d-9abb-c9e79a0fb114","783db5eb11e4574927d3eb79c22f4821"
"be25116b-7a35-4c6a-b45f-8f288aa5b59b","Fri Sep 13 2024 12:48:00 GMT+0200 (Central European Summer Time)","Fri Sep 13 2024 12:48:00 GMT+0200 (Central European Summer Time)","finished","Ending","D6","8","8","7","7","7","None","https://build.fillout.com/editor/ipbrYZCDCsus/results?sessionId=be25116b-7a35-4c6a-b45f-8f288aa5b59b","783db5eb11e4574927d3eb79c22f4821"
"74719d30-672b-404d-975c-8bf51594c9ea","Fri Sep 13 2024 12:45:00 GMT+0200 (Central European Summer Time)","Fri Sep 13 2024 12:45:00 GMT+0200 (Central European Summer Time)","finished","Ending","D5","9","8","8","5","8","None","https://build.fillout.com/editor/ipbrYZCDCsus/results?sessionId=74719d30-672b-404d-975c-8bf51594c9ea","783db5eb11e4574927d3eb79c22f4821"
"f3369a1b-8143-4de6-95db-3914a7115b1c","Fri Sep 13 2024 08:21:00 GMT+0200 (Central European Summer Time)","Fri Sep 13 2024 08:21:00 GMT+0200 (Central European Summer Time)","finished","Ending","D13","7","8","6","6","6","None","https://build.fillout.com/editor/ipbrYZCDCsus/results?sessionId=f3369a1b-8143-4de6-95db-3914a7115b1c","7ee782d0750302f0691c0f6206a5644f"
"defbd11e-0ad5-480b-8caa-4c48dcb13116","Thu Sep 12 2024 23:29:00 GMT+0200 (Central European Summer Time)","Thu Sep 12 2024 23:29:00 GMT+0200 (Central European Summer Time)","finished","Ending","D1","7","7","7","6","6","None","https://build.fillout.com/editor/ipbrYZCDCsus/results?sessionId=defbd11e-0ad5-480b-8caa-4c48dcb13116","b5df1ce61edb790980b5414b1d56f019"
